Date,close,location
2020-07-17,32859.69,United States
2020-07-16,32747.2,United States
2020-07-15,32874.73,United States
2020-07-14,32491.4,United States
2020-07-13,32051.64,United States
2020-07-10,32408.34,United States
2020-07-09,32058.03,United States
2020-07-08,32262.1,United States
2020-07-07,31995.87,United States
2020-07-06,32357.45,United States
2020-07-02,31859.2,United States
2020-07-01,31714.07,United States
2020-06-30,31576.79,United States
2020-06-29,31093.8,United States
2020-06-26,30620.42,United States
2020-06-25,31373.25,United States
2020-06-24,31008.58,United States
2020-06-23,31864.58,United States
2020-06-22,31738.05,United States
2020-06-19,31534.06,United States
2020-06-18,31704.37,United States
2020-06-17,31678.72,United States
2020-06-16,31822.67,United States
2020-06-15,31228.39,United States
2020-06-12,30911.92,United States
2020-06-11,30484.44,United States
2020-06-10,32437.11,United States
2020-06-09,32665.6,United States
2020-06-08,32981.16,United States
2020-06-05,32538.05,United States
2020-06-04,31699.35,United States
2020-06-03,31804.65,United States
2020-06-02,31332.99,United States
2020-06-01,31073.88,United States
2020-05-29,30910.1,United States
2020-05-28,30768.79,United States
2020-05-27,30888.0,United States
2020-05-26,30404.2,United States
2020-05-22,29985.34,United States
2020-05-21,29896.76,United States
2020-05-20,30094.41,United States
2020-05-19,29570.86,United States
2020-05-18,29889.29,United States
2020-05-15,28903.31,United States
2020-05-14,28760.56,United States
2020-05-13,28441.92,United States
2020-05-12,29011.98,United States
2020-05-11,29663.42,United States
2020-05-08,29670.79,United States
2020-05-07,29121.73,United States
2020-05-06,28752.34,United States
2020-05-05,28937.6,United States
2020-05-04,28670.31,United States
2020-05-01,28539.1,United States
2020-04-30,29396.7,United States
2020-04-29,29755.6,United States
2020-04-28,28914.43,United States
2020-04-27,29022.02,United States
2020-04-24,28507.11,United States
2020-04-23,28110.29,United States
2020-04-22,28093.45,United States
2020-04-21,27478.69,United States
2020-04-20,28346.72,United States
2020-04-17,28840.28,United States
2020-04-16,28036.39,United States
2020-04-15,27902.69,United States
2020-04-14,28574.11,United States
2020-04-13,27747.18,United States
2020-04-09,28075.87,United States
2020-04-08,27586.42,United States
2020-04-07,26633.07,United States
2020-04-06,26645.86,United States
2020-04-03,24860.74,United States
2020-04-02,25286.96,United States
2020-04-01,24774.57,United States
2020-03-31,25984.75,United States
2020-03-30,26386.76,United States
2020-03-27,25585.47,United States
2020-03-26,26476.65,United States
2020-03-25,24931.33,United States
2020-03-24,24589.35,United States
2020-03-23,22462.76,United States
2020-03-20,23105.3,United States
2020-03-19,24116.65,United States
2020-03-18,23829.82,United States
2020-03-17,25309.67,United States
2020-03-16,23920.77,United States
2020-03-13,27288.33,United States
2020-03-12,25042.56,United States
2020-03-11,27723.91,United States
2020-03-10,29210.74,United States
2020-03-09,27892.58,United States
2020-03-06,30275.44,United States
2020-03-05,30826.8,United States
2020-03-04,31903.9,United States
2020-03-03,30665.89,United States
2020-03-02,31517.22,United States
2020-02-28,30203.72,United States
2020-02-27,30472.84,United States
2020-02-26,31850.29,United States
2020-02-25,32022.15,United States
2020-02-24,33040.01,United States
